Id,Time[ns],0:I²C: Address/Data
260,2995000.00,Stop
261,3005000.00,Start
262,3008000.00,Address write: 6A
263,3027000.00,Write
264,3030000.00,NACK
265,3034000.00,Stop
266,3044000.00,Start
267,3047000.00,Address write: 6C
268,3066000.00,Write
269,3069000.00,NACK
270,3073000.00,Stop
271,3082000.00,Start
272,3086000.00,Address write: 6E
273,3105000.00,Write
274,3108000.00,NACK
275,3112000.00,Stop
276,3121000.00,Start
277,3125000.00,Address write: 70
278,3144000.00,Write
279,3146000.00,NACK
280,3151000.00,Stop
281,3160000.00,Start
282,3164000.00,Address write: 72
283,3183000.00,Write
284,3185000.00,NACK
285,3190000.00,Stop
286,3199000.00,Start
287,3203000.00,Address write: 74
288,3221000.00,Write
289,3224000.00,NACK
290,3229000.00,Stop
291,3238000.00,Start
292,3241000.00,Address write: 76
293,3260000.00,Write
294,3263000.00,NACK
295,3267000.00,Stop
296,3277000.00,Start
297,3280000.00,Address write: 78
298,3299000.00,Write
299,3302000.00,NACK
300,3306000.00,Stop
301,3316000.00,Start
302,3319000.00,Address write: 7A
303,3338000.00,Write
304,3341000.00,NACK
305,3345000.00,Stop
306,3354000.00,Start
307,3358000.00,Address write: 7C
308,3377000.00,Write
309,3380000.00,NACK
310,3384000.00,Stop
311,3393000.00,Start
312,3397000.00,Address write: 7E
313,3416000.00,Write
314,3419000.00,NACK
315,3423000.00,Stop
316,3432000.00,Start
317,3436000.00,Address write: 80
318,3455000.00,Write
319,3458000.00,NACK
320,3462000.00,Stop
321,3471000.00,Start
322,3475000.00,Address write: 82
323,3494000.00,Write
324,3496000.00,NACK
325,3501000.00,Stop
326,3510000.00,Start
327,3514000.00,Address write: 84
328,3533000.00,Write
329,3535000.00,NACK
330,3540000.00,Stop
331,3549000.00,Start
332,3553000.00,Address write: 86
333,3571000.00,Write
334,3574000.00,NACK
335,3579000.00,Stop
336,3588000.00,Start
337,3591000.00,Address write: 88
338,3610000.00,Write
339,3613000.00,NACK
340,3617000.00,Stop
341,3627000.00,Start
342,3630000.00,Address write: 8A
343,3649000.00,Write
344,3652000.00,NACK
345,3656000.00,Stop
346,3666000.00,Start
347,3669000.00,Address write: 8C
348,3688000.00,Write
349,3691000.00,NACK
350,3695000.00,Stop
351,3704000.00,Start
352,3708000.00,Address write: 8E
353,3727000.00,Write
354,3730000.00,NACK
355,3734000.00,Stop
356,3743000.00,Start
357,3747000.00,Address write: 90
358,3766000.00,Write
359,3768000.00,NACK
360,3773000.00,Stop
361,3782000.00,Start
362,3786000.00,Address write: 92
363,3805000.00,Write
364,3807000.00,NACK
365,3812000.00,Stop
366,3821000.00,Start
367,3825000.00,Address write: 94
368,3843000.00,Write
369,3846000.00,NACK
370,3851000.00,Stop
371,3860000.00,Start
372,3863000.00,Address write: 96
373,3882000.00,Write
374,3885000.00,NACK
375,3889000.00,Stop
376,3899000.00,Start
377,3902000.00,Address write: 98
378,3921000.00,Write
379,3924000.00,NACK
380,3928000.00,Stop
381,3938000.00,Start
382,3941000.00,Address write: 9A
383,3960000.00,Write
384,3963000.00,NACK
385,3967000.00,Stop
386,3976000.00,Start
387,3980000.00,Address write: 9C
388,3999000.00,Write
389,4001000.00,NACK
390,4006000.00,Stop
391,4015000.00,Start
392,4019000.00,Address write: 9E
393,4038000.00,Write
394,4040000.00,NACK
395,4045000.00,Stop
396,4054000.00,Start
397,4058000.00,Address write: A0
398,4077000.00,Write
399,4079000.00,NACK
400,4084000.00,Stop
401,4093000.00,Start
402,4097000.00,Address write: A2
403,4115000.00,Write
404,4118000.00,NACK
405,4123000.00,Stop
406,4132000.00,Start
407,4135000.00,Address write: A4
408,4154000.00,Write
409,4157000.00,NACK
410,4162000.00,Stop
411,4171000.00,Start
412,4175000.00,Address write: A6
413,4193000.00,Write
414,4196000.00,NACK
415,4201000.00,Stop
416,4210000.00,Start
417,4213000.00,Address write: A8
418,4232000.00,Write
419,4235000.00,NACK
420,4239000.00,Stop
421,4249000.00,Start
422,4252000.00,Address write: AA
423,4271000.00,Write
424,4274000.00,NACK
425,4279000.00,Stop
426,4288000.00,Start
427,4291000.00,Address write: AC
428,4310000.00,Write
429,4313000.00,NACK
430,4317000.00,Stop
431,4327000.00,Start
432,4330000.00,Address write: AE
433,4349000.00,Write
434,4352000.00,NACK
435,4357000.00,Stop
436,4366000.00,Start
437,4369000.00,Address write: B0
438,4388000.00,Write
439,4391000.00,NACK
440,4395000.00,Stop
441,4405000.00,Start
442,4408000.00,Address write: B2
443,4427000.00,Write
444,4430000.00,NACK
445,4434000.00,Stop
446,4444000.00,Start
447,4447000.00,Address write: B4
448,4466000.00,Write
449,4469000.00,NACK
450,4473000.00,Stop
451,4482000.00,Start
452,4486000.00,Address write: B6
453,4505000.00,Write
454,4508000.00,NACK
455,4512000.00,Stop
456,4521000.00,Start
457,4525000.00,Address write: B8
458,4544000.00,Write
459,4546000.00,NACK
460,4551000.00,Stop
461,4560000.00,Start
462,4564000.00,Address write: BA
463,4583000.00,Write
464,4585000.00,NACK
465,4590000.00,Stop
466,4599000.00,Start
467,4603000.00,Address write: BC
468,4621000.00,Write
469,4624000.00,NACK
470,4629000.00,Stop
471,4638000.00,Start
472,4641000.00,Address write: BE
473,4660000.00,Write
474,4663000.00,NACK
475,4667000.00,Stop
476,4677000.00,Start
477,4680000.00,Address write: C0
478,4699000.00,Write
479,4702000.00,NACK
480,4706000.00,Stop
481,4716000.00,Start
482,4719000.00,Address write: C2
483,4738000.00,Write
484,4741000.00,NACK
485,4745000.00,Stop
486,4754000.00,Start
487,4758000.00,Address write: C4
488,4777000.00,Write
489,4780000.00,NACK
490,4784000.00,Stop
491,4793000.00,Start
492,4797000.00,Address write: C6
493,4816000.00,Write
494,4818000.00,NACK
495,4823000.00,Stop
496,4832000.00,Start
497,4836000.00,Address write: C8
498,4855000.00,Write
499,4857000.00,NACK
500,4862000.00,Stop
501,4871000.00,Start
502,4875000.00,Address write: CA
503,4893000.00,Write
504,4896000.00,NACK
505,4901000.00,Stop
506,4910000.00,Start
507,4914000.00,Address write: CC
508,4933000.00,Write
509,4935000.00,NACK
510,4940000.00,Stop
511,4949000.00,Start
512,4953000.00,Address write: CE
513,4971000.00,Write
514,4974000.00,NACK
515,4979000.00,Stop
516,4988000.00,Start
517,4991000.00,Address write: D0
518,5010000.00,Write
519,5013000.00,NACK
520,5017000.00,Stop
521,5027000.00,Start
522,5030000.00,Address write: D2
523,5049000.00,Write
524,5052000.00,NACK
525,5056000.00,Stop
526,5066000.00,Start
527,5069000.00,Address write: D4
528,5088000.00,Write
529,5091000.00,NACK
530,5095000.00,Stop
531,5104000.00,Start
532,5108000.00,Address write: D6
533,5127000.00,Write
534,5130000.00,NACK
535,5134000.00,Stop
536,5144000.00,Start
537,5147000.00,Address write: D8
538,5166000.00,Write
539,5169000.00,NACK
540,5173000.00,Stop
541,5182000.00,Start
542,5186000.00,Address write: DA
543,5205000.00,Write
544,5208000.00,NACK
545,5212000.00,Stop
546,5221000.00,Start
547,5225000.00,Address write: DC
548,5244000.00,Write
549,5246000.00,NACK
550,5251000.00,Stop
551,5260000.00,Start
552,5264000.00,Address write: DE
553,5283000.00,Write
554,5285000.00,NACK
555,5290000.00,Stop
556,5299000.00,Start
557,5303000.00,Address write: E0
558,5321000.00,Write
559,5324000.00,NACK
560,5329000.00,Stop
561,5338000.00,Start
562,5341000.00,Address write: E2
563,5360000.00,Write
564,5363000.00,NACK
565,5368000.00,Stop
566,5377000.00,Start
567,5381000.00,Address write: E4
568,5399000.00,Write
569,5402000.00,NACK
570,5407000.00,Stop
571,5416000.00,Start
572,5419000.00,Address write: E6
573,5438000.00,Write
574,5441000.00,NACK
575,5445000.00,Stop
576,5455000.00,Start
577,5458000.00,Address write: E8
578,5477000.00,Write
579,5480000.00,NACK
580,5484000.00,Stop
581,5494000.00,Start
582,5497000.00,Address write: EA
583,5516000.00,Write
584,5519000.00,NACK
585,5523000.00,Stop
586,5532000.00,Start
587,5536000.00,Address write: EC
588,5555000.00,Write
589,5558000.00,NACK
590,5562000.00,Stop
591,5571000.00,Start
592,5575000.00,Address write: EE
593,5594000.00,Write
594,5596000.00,NACK
595,5601000.00,Stop
596,5610000.00,Start
597,5614000.00,Address write: F0
598,5633000.00,Write
599,5635000.00,NACK
600,5640000.00,Stop
601,5649000.00,Start
602,5653000.00,Address write: F2
603,5671000.00,Write
604,5674000.00,NACK
605,5679000.00,Stop
606,5688000.00,Start
607,5691000.00,Address write: F4
608,5710000.00,Write
609,5713000.00,NACK
610,5717000.00,Stop
611,5727000.00,Start
612,5730000.00,Address write: F6
613,5749000.00,Write
614,5752000.00,NACK
615,5756000.00,Stop
616,5766000.00,Start
617,5769000.00,Address write: F8
618,5788000.00,Write
619,5791000.00,NACK
620,5795000.00,Stop
621,5804000.00,Start
622,5808000.00,Address write: FA
623,5827000.00,Write
624,5830000.00,NACK
625,5834000.00,Stop
626,5843000.00,Start
627,5847000.00,Address write: FC
628,5866000.00,Write
629,5868000.00,NACK
630,5873000.00,Stop
631,7636000.00,Start
632,7639000.00,Address write: 20
633,7658000.00,Write
634,7661000.00,NACK
635,7665000.00,Stop
636,13599000.00,Start
637,13603000.00,Address write: 20
638,13621000.00,Write
639,13624000.00,NACK
640,13629000.00,Stop
